participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
3I6EY,jmi,0,gamma,4.191493141923392,16.593535139929095,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,1,gamma,3.517607397863319,17.808810074274767,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,2,gamma,3.2995815991702635,20.446110986906447,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,3,gamma,2.878673991339106,24.18556658007065,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,4,gamma,2.4158051229457023,26.227251268986265,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,5,gamma,2.3504850828667365,25.35950357890171,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,6,gamma,2.353628963192424,23.84251698248887,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,7,gamma,2.2124402470565094,23.51105178738149,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,8,gamma,1.970180528499398,24.701259955722186,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,9,gamma,1.8036281515535748,26.176542443773723,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,10,gamma,1.979068613907831,25.972942103551542,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,11,gamma,2.2733641910805247,24.39820688859323,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,12,gamma,2.3203796468627793,23.45565951172448,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,13,gamma,2.147543578941008,24.146205626008808,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,14,gamma,1.8713003384438451,26.256517089265525,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,15,gamma,1.6473849338581346,28.617545527967806,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
3I6EY,jmi,16,gamma,1.723095164482526,29.516653559070615,1.2343750000000002,9.953125,1.88125,LN,HP,LNP
