participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
NJL7V,goc,0,delta,-0.8226895315358707,1.520800477111955,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,1,delta,-0.854762378896968,1.5585928395258342,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,2,delta,-0.962750180627348,1.5152381169619797,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,3,delta,-0.9556691983231711,1.4656250953211174,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,4,delta,-0.698237795632316,1.5320857977811517,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,5,delta,-0.356630810489305,1.7105313088122522,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,6,delta,-0.1885249595356615,1.8558036648033371,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,7,delta,-0.1880238770671936,1.7963788373400704,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,8,delta,-0.10866791944937448,1.5668779303440985,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,9,delta,0.1671688964727922,1.4249627385871932,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,10,delta,0.44494663175105287,1.499041890678036,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,11,delta,0.4537176216488956,1.686906916697895,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,12,delta,0.19769550024765659,1.787136055066867,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,13,delta,0.02888167470936387,1.7102136094149794,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,14,delta,0.25648923236570753,1.6021906761898599,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,15,delta,0.7377770208562471,1.6342821304748263,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,16,delta,1.0169353328923145,1.7804842786120287,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,17,delta,0.8260403299081382,1.8902772367314493,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,18,delta,0.3246123626339532,1.877589557874341,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,19,delta,-0.10945044020007244,1.801771046246321,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,20,delta,-0.267974757974454,1.7790533531179191,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,21,delta,-0.2304341561443488,1.8386912073870458,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,22,delta,-0.1668205232929716,1.9150031068133915,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,23,delta,-0.1511630940589157,1.949736593048409,2.546875,6.671875,4.731249999999999,LN,HP,LNP
NJL7V,goc,24,delta,-0.21631466898521645,1.935104236452473,2.546875,6.671875,4.731249999999999,LN,HP,LNP
