participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
YOO7M,gam,0,delta,13.763866413342807,32.037486207617484,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,1,delta,18.755511519707873,32.86019700847326,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,2,delta,21.460166585973443,34.26722989799428,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,3,delta,19.627037795212903,35.95269267587772,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,4,delta,15.97037638326012,36.98654025000711,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,5,delta,14.71951940751201,36.78785953959054,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,6,delta,17.355612362257908,35.55488851578274,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,7,delta,21.178683457807125,33.60442860662624,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,8,delta,22.015195610771183,31.000906226766805,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,9,delta,18.78102755762803,28.11095651102746,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,10,delta,15.653615867030307,26.041007903955744,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,11,delta,17.21151315556105,26.0106491296099,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,12,delta,21.92914123150944,28.144850750306638,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,13,delta,24.85192943272822,31.16101319831049,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,14,delta,23.84745090273817,33.59774340328274,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,15,delta,20.151307469854565,35.14697728798291,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,16,delta,17.14904181498857,36.90073178914987,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,17,delta,17.19063164483463,39.28397378215774,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,18,delta,18.972453096099052,41.146740399939226,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,19,delta,19.87164013599312,41.21175688870131,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,20,delta,18.04305975250663,39.17089871940623,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,21,delta,14.366042052652219,36.52266656681664,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,22,delta,13.104608244022423,35.96882031260213,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,23,delta,15.85998070719669,38.118410099933726,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,24,delta,18.90367493813821,40.784179243408175,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,25,delta,18.47791535191884,42.110183499461655,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,26,delta,14.117491683039624,42.09943714899319,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
YOO7M,gam,27,delta,9.402007606427212,41.99890264494589,1.2343750000000002,9.934375,1.0187499999999998,LN,HP,LNP
